dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Non Operating Expenses","Europe","Actual",7573.6858447,8474.5990868,9288.5315068,9271.8730594,8814.7315068,7247.7223744,7597.1324201,8158.3881279,5979.7232877,8916.4876712,7700.3735160,9280.8840183,98304.1324201
"Net Profit (Loss)","Europe","Actual",-80207.9105023,-87171.8566210,-88086.9616438,-86016.2036530,-89536.5424658,-85044.1963470,-84373.4073059,-85316.3671233,-82648.8219178,-81439.1378995,-85523.4968037,-88336.1954338,-1023701.0977169
"Operating Expenses","UK","Actual",39999.0000000,38508.0000000,42999.0000000,40913.0000000,40602.0000000,38091.0000000,40489.0000000,40768.0000000,39327.0000000,40348.0000000,41220.0000000,40049.0000000,483313.0000000
"Total Operating Expense","UK","Actual",39999.0000000,38508.0000000,42999.0000000,40913.0000000,40602.0000000,38091.0000000,40489.0000000,40768.0000000,39327.0000000,40348.0000000,41220.0000000,40049.0000000,483313.0000000
"Operating Profit (Loss)","UK","Actual",-39999.0000000,-38508.0000000,-42999.0000000,-40913.0000000,-40602.0000000,-38091.0000000,-40489.0000000,-40768.0000000,-39327.0000000,-40348.0000000,-41220.0000000,-40049.0000000,-483313.0000000
"Non Operating Expenses","UK","Actual",3784.0000000,2639.0000000,3453.0000000,3719.0000000,3234.0000000,3344.0000000,3880.0000000,2990.0000000,2238.0000000,3981.0000000,2071.0000000,3587.0000000,38920.0000000
"Net Profit (Loss)","UK","Actual",-43783.0000000,-41147.0000000,-46452.0000000,-44632.0000000,-43836.0000000,-41435.0000000,-44369.0000000,-43758.0000000,-41565.0000000,-44329.0000000,-43291.0000000,-43636.0000000,-522233.0000000
"Operating Expenses","France","Actual",25366.0000000,33191.0000000,27985.0000000,28396.0000000,32741.0000000,32783.0000000,28929.0000000,28981.0000000,30195.0000000,24842.0000000,29112.0000000,31728.0000000,354249.0000000
"Total Operating Expense","France","Actual",25366.0000000,33191.0000000,27985.0000000,28396.0000000,32741.0000000,32783.0000000,28929.0000000,28981.0000000,30195.0000000,24842.0000000,29112.0000000,31728.0000000,354249.0000000
"Operating Profit (Loss)","France","Actual",-25366.0000000,-33191.0000000,-27985.0000000,-28396.0000000,-32741.0000000,-32783.0000000,-28929.0000000,-28981.0000000,-30195.0000000,-24842.0000000,-29112.0000000,-31728.0000000,-354249.0000000
"Non Operating Expenses","France","Actual",3102.0000000,5356.0000000,5208.0000000,4877.0000000,4993.0000000,3296.0000000,3012.0000000,4625.0000000,3335.0000000,4212.0000000,5253.0000000,5042.0000000,52311.0000000
"Net Profit (Loss)","France","Actual",-28468.0000000,-38547.0000000,-33193.0000000,-33273.0000000,-37734.0000000,-36079.0000000,-31941.0000000,-33606.0000000,-33530.0000000,-29054.0000000,-34365.0000000,-36770.0000000,-406560.0000000
