dim1,dim2,dim3,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Marketing","North America","Actual",16233.9895883,13294.7420729,19465.2153336,16553.2191197,15319.1244676,16035.4443919,19225.7931850,14966.8040700,13117.6086133,11949.6956933,12956.0473261,13588.6668244,182706.3506862
"Training","North America","Actual",4403.0317085,4192.8073829,3404.4661619,5269.2337908,5245.8755324,1930.9493611,3365.5357312,2152.8528159,3791.8239470,5415.2229058,1892.0189304,3813.2356839,44877.0539517
"Office Costs","North America","Actual",12017.8239470,10812.9271178,11293.7179366,11336.5414103,10287.3663038,10357.4410790,12115.1500237,12052.8613346,12146.2943682,9944.7785140,10727.2801704,10081.0350213,133173.2172267
"Admin","North America","Actual",2869.1727402,1664.2759110,2145.0667298,2187.8902035,1138.7150970,1208.7898722,2966.4988168,2904.2101278,2997.6431614,796.1273071,1578.6289636,932.3838145,23389.4027449
"Office lease","North America","Actual",7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,7786.0861335,93433.0336015
"Utilities","North America","Actual",973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,973.2607667,11679.1292002
"Other Office Expenses","North America","Actual",389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,389.3043067,4671.6516801
"Operating Expenses","North America","Actual",92997.0127780,88642.6441079,94505.5669664,93501.1618552,91194.5338381,88666.0023663,95048.6464742,89514.6857549,89397.8944628,87651.8646474,85917.5139612,87825.1050639,1084862.6322764
"Other Expenses","North America","Actual",5746.1315665,6258.0667298,5131.0307619,6133.4893516,5818.1528632,7443.4983436,5117.4051112,6396.2697586,3922.2408897,5886.2811169,4019.5669664,5716.9337435,67589.0672030
"Total Expenses","North America","Actual",98743.1443445,94900.7108377,99636.5977283,99634.6512068,97012.6867014,96109.5007099,100166.0515854,95910.9555135,93320.1353526,93538.1457643,89937.0809276,93542.0388074,1152451.6994794
"Salary and Benefits","USA","Actual",25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,300000.0000000
"Travel Costs","USA","Actual",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","USA","Actual",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","USA","Actual",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","USA","Actual",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","USA","Actual",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","USA","Actual",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","USA","Actual",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","USA","Actual",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","USA","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Other Expenses","USA","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","USA","Actual",50728.0000000,48754.0000000,51187.0000000,51186.0000000,49839.0000000,49375.0000000,51459.0000000,49273.0000000,47942.0000000,48054.0000000,46204.0000000,48056.0000000,592057.0000000
"Salary and Benefits","Canada","Actual",25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,300000.0000000
"Travel Costs","Canada","Actual",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","Canada","Actual",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Canada","Actual",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Canada","Actual",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Canada","Actual",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Canada","Actual",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Canada","Actual",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Canada","Actual",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Canada","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Other Expenses","Canada","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Canada","Actual",50728.0000000,48754.0000000,51187.0000000,51186.0000000,49839.0000000,49375.0000000,51459.0000000,49273.0000000,47942.0000000,48054.0000000,46204.0000000,48056.0000000,592057.0000000
"Salary and Benefits","Asia Pacific","Actual",37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,37396.0457347,448752.5488167
"Travel Costs","Asia Pacific","Actual",5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,5463.7668015,65565.2016174
"Marketing","Asia Pacific","Actual",14500.8359056,12082.7854433,17159.0900562,14763.4586048,13748.1976822,14337.4973976,16962.1230317,13458.3518984,11937.0618724,10976.2471192,11804.1491649,12324.5904896,164054.3886659
"Training","Asia Pacific","Actual",3931.8691428,3758.9224873,3110.3725288,4644.4734181,4625.2571231,1898.1445819,3078.3453704,2080.6993850,3429.0427553,4764.5752623,1866.1174234,3446.6576925,40634.4771709
"Office Costs","Asia Pacific","Actual",13880.5918601,12889.3513064,13284.8867131,13320.1165874,12456.9846674,12514.6335526,13960.6597562,13909.4163027,13986.2814830,12175.1456732,12818.8915578,12287.2407277,157484.2001876
"Admin","Asia Pacific","Actual",3289.1941467,2297.9535930,2693.4889997,2728.7188740,1865.5869540,1923.2358392,3369.2620428,3318.0185893,3394.8837696,1583.7479598,2227.4938444,1695.8430143,30387.4276270
"Office lease","Asia Pacific","Actual",9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,9160.8496448,109930.1957370
"Utilities","Asia Pacific","Actual",1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,1048.3569796,12580.2837551
"Other Office Expenses","Asia Pacific","Actual",382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,382.1910890,4586.2930686
"Operating Expenses","Asia Pacific","Actual",75173.1094447,71590.8717732,76414.1618343,75587.8611465,73690.2520089,71610.0880682,76860.9406945,72308.2801222,72212.1986469,70775.7805908,69348.9706823,70918.3014459,876490.8164586
"Other Expenses","Asia Pacific","Actual",5191.6048706,5612.7620041,4685.5757673,5510.2750971,5250.8551138,6587.9889787,4674.3662618,5726.4584166,3691.1324977,5306.9026410,3771.2003938,5167.5845018,61176.7065444
"Total Expenses","Asia Pacific","Actual",80364.7143154,77203.6337773,81099.7376016,81098.1362437,78941.1071227,78198.0770469,81535.3069564,78034.7385388,75903.3311446,76082.6832319,73120.1710761,76085.8859477,937667.5230030
"Salary and Benefits","Singapore","Actual",12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,12000.0000000,144000.0000000
"Marketing","Singapore","Actual",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Singapore","Actual",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Singapore","Actual",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Singapore","Actual",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Singapore","Actual",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Singapore","Actual",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Singapore","Actual",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Singapore","Actual",28776.0000000,26539.0000000,29551.0000000,29035.0000000,27850.0000000,26551.0000000,29830.0000000,26987.0000000,26927.0000000,26030.0000000,25139.0000000,26119.0000000,329334.0000000
"Other Expenses","Singapore","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Singapore","Actual",31728.0000000,29754.0000000,32187.0000000,32186.0000000,30839.0000000,30375.0000000,32459.0000000,30273.0000000,28942.0000000,29054.0000000,27204.0000000,29056.0000000,364057.0000000
"Salary and Benefits","Thailand","Actual",220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,220000.0000000,2640000.0000000
"Travel Costs","Thailand","Actual",7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,7000.0000000,84000.0000000
"Marketing","Thailand","Actual",37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,37000.0000000,444000.0000000
"Training","Thailand","Actual",10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,10000.0000000,120000.0000000
"Office Costs","Thailand","Actual",129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,129000.0000000,1548000.0000000
"Admin","Thailand","Actual",30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,30000.0000000,360000.0000000
"Office lease","Thailand","Actual",89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,89000.0000000,1068000.0000000
"Utilities","Thailand","Actual",8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,8000.0000000,96000.0000000
"Other Office Expenses","Thailand","Actual",2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,2000.0000000,24000.0000000
"Operating Expenses","Thailand","Actual",403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,403000.0000000,4836000.0000000
"Other Expenses","Thailand","Actual",15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,15000.0000000,180000.0000000
"Total Expenses","Thailand","Actual",418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,418000.0000000,5016000.0000000
"Salary and Benefits","Australia","Actual",25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,25000.0000000,300000.0000000
"Travel Costs","Australia","Actual",6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,6000.0000000,72000.0000000
"Marketing","Australia","Actual",8340.0000000,6830.0000000,10000.0000000,8504.0000000,7870.0000000,8238.0000000,9877.0000000,7689.0000000,6739.0000000,6139.0000000,6656.0000000,6981.0000000,93863.0000000
"Training","Australia","Actual",2262.0000000,2154.0000000,1749.0000000,2707.0000000,2695.0000000,992.0000000,1729.0000000,1106.0000000,1948.0000000,2782.0000000,972.0000000,1959.0000000,23055.0000000
"Office Costs","Australia","Actual",6174.0000000,5555.0000000,5802.0000000,5824.0000000,5285.0000000,5321.0000000,6224.0000000,6192.0000000,6240.0000000,5109.0000000,5511.0000000,5179.0000000,68416.0000000
"Admin","Australia","Actual",1474.0000000,855.0000000,1102.0000000,1124.0000000,585.0000000,621.0000000,1524.0000000,1492.0000000,1540.0000000,409.0000000,811.0000000,479.0000000,12016.0000000
"Office lease","Australia","Actual",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","Australia","Actual",500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,500.0000000,6000.0000000
"Other Office Expenses","Australia","Actual",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","Australia","Actual",47776.0000000,45539.0000000,48551.0000000,48035.0000000,46850.0000000,45551.0000000,48830.0000000,45987.0000000,45927.0000000,45030.0000000,44139.0000000,45119.0000000,557334.0000000
"Other Expenses","Australia","Actual",2952.0000000,3215.0000000,2636.0000000,3151.0000000,2989.0000000,3824.0000000,2629.0000000,3286.0000000,2015.0000000,3024.0000000,2065.0000000,2937.0000000,34723.0000000
"Total Expenses","Australia","Actual",50728.0000000,48754.0000000,51187.0000000,51186.0000000,49839.0000000,49375.0000000,51459.0000000,49273.0000000,47942.0000000,48054.0000000,46204.0000000,48056.0000000,592057.0000000
"Salary and Benefits","Europe","Actual",33746.6438356,38008.6438356,35578.6438356,36517.6438356,38370.6438356,38367.6438356,37145.6438356,37867.6438356,36703.6438356,33872.6438356,36267.6438356,37709.6438356,440156.7260274
"Marketing","Europe","Actual",17639.7497717,20673.2438356,23097.2621005,18907.8949772,23838.8164384,19582.1826484,20085.1589041,19611.5744292,21477.2273973,19832.1004566,20109.6849315,21648.9095890,246503.8054795
"Training","Europe","Actual",6127.7926941,4429.5287671,5241.9671233,6378.1726027,4340.3488584,4725.0429224,5147.5223744,4793.0721461,4256.3570776,4043.6958904,5286.5059361,4442.3762557,59212.3826484
"Office Costs","Europe","Actual",15120.0383562,15585.8410959,14880.5570776,14940.6191781,14172.0018265,15121.6045662,14397.9497717,14885.6885845,14231.8703196,14774.2100457,16159.2885845,15254.3817352,179524.0511416
"Admin","Europe","Actual",2692.5360731,3158.3388128,2453.0547945,2513.1168950,1744.4995434,2694.1022831,1970.4474886,2458.1863014,1804.3680365,2346.7077626,3731.7863014,2826.8794521,30394.0237443
"Office lease","Europe","Actual",10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,10095.9406393,121151.2876712
"Utilities","Europe","Actual",1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,1827.2146119,21926.5753425
"Other Office Expenses","Europe","Actual",504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,504.3470320,6052.1643836
"Operating Expenses","Europe","Actual",72634.2246575,78697.2575342,78798.4301370,76744.3305936,80721.8109589,77796.4739726,76776.2748858,77157.9789954,76669.0986301,72522.6502283,77823.1232877,79055.3114155,925396.9652968
"Other Expenses","Europe","Actual",7573.6858447,8474.5990868,9288.5315068,9271.8730594,8814.7315068,7247.7223744,7597.1324201,8158.3881279,5979.7232877,8916.4876712,7700.3735160,9280.8840183,98304.1324201
"Total Expenses","Europe","Actual",80207.9105023,87171.8566210,88086.9616438,86016.2036530,89536.5424658,85044.1963470,84373.4073059,85316.3671233,82648.8219178,81439.1378995,85523.4968037,88336.1954338,1023701.0977169
"Salary and Benefits","UK","Actual",24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,24000.0000000,288000.0000000
"Marketing","UK","Actual",7394.0000000,6918.0000000,9983.0000000,8930.0000000,9876.0000000,6560.0000000,9036.0000000,9506.0000000,7116.0000000,8645.0000000,8175.0000000,7659.0000000,99798.0000000
"Training","UK","Actual",2497.0000000,1296.0000000,2586.0000000,2301.0000000,1273.0000000,1673.0000000,1373.0000000,1321.0000000,2269.0000000,1473.0000000,2666.0000000,2038.0000000,22766.0000000
"Office Costs","UK","Actual",6108.0000000,6294.0000000,6430.0000000,5682.0000000,5453.0000000,5858.0000000,6080.0000000,5941.0000000,5942.0000000,6230.0000000,6379.0000000,6352.0000000,72749.0000000
"Admin","UK","Actual",1208.0000000,1394.0000000,1530.0000000,782.0000000,553.0000000,958.0000000,1180.0000000,1041.0000000,1042.0000000,1330.0000000,1479.0000000,1452.0000000,13949.0000000
"Office lease","UK","Actual",4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,4000.0000000,48000.0000000
"Utilities","UK","Actual",700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,700.0000000,8400.0000000
"Other Office Expenses","UK","Actual",200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,200.0000000,2400.0000000
"Operating Expenses","UK","Actual",39999.0000000,38508.0000000,42999.0000000,40913.0000000,40602.0000000,38091.0000000,40489.0000000,40768.0000000,39327.0000000,40348.0000000,41220.0000000,40049.0000000,483313.0000000
"Other Expenses","UK","Actual",3784.0000000,2639.0000000,3453.0000000,3719.0000000,3234.0000000,3344.0000000,3880.0000000,2990.0000000,2238.0000000,3981.0000000,2071.0000000,3587.0000000,38920.0000000
"Total Expenses","UK","Actual",43783.0000000,41147.0000000,46452.0000000,44632.0000000,43836.0000000,41435.0000000,44369.0000000,43758.0000000,41565.0000000,44329.0000000,43291.0000000,43636.0000000,522233.0000000
"Salary and Benefits","France","Actual",5385.0000000,9647.0000000,7217.0000000,8156.0000000,10009.0000000,10006.0000000,8784.0000000,9506.0000000,8342.0000000,5511.0000000,7906.0000000,9348.0000000,99817.0000000
"Marketing","France","Actual",8902.0000000,12498.0000000,11300.0000000,8355.0000000,12168.0000000,11830.0000000,9407.0000000,8378.0000000,13068.0000000,9616.0000000,10449.0000000,12598.0000000,128569.0000000
"Training","France","Actual",3177.0000000,2898.0000000,2186.0000000,3659.0000000,2836.0000000,2748.0000000,3525.0000000,3232.0000000,1575.0000000,2303.0000000,2136.0000000,2034.0000000,32309.0000000
"Office Costs","France","Actual",7902.0000000,8148.0000000,7282.0000000,8226.0000000,7728.0000000,8199.0000000,7213.0000000,7865.0000000,7210.0000000,7412.0000000,8621.0000000,7748.0000000,93554.0000000
"Admin","France","Actual",1265.0000000,1511.0000000,645.0000000,1589.0000000,1091.0000000,1562.0000000,576.0000000,1228.0000000,573.0000000,775.0000000,1984.0000000,1111.0000000,13910.0000000
"Office lease","France","Actual",5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,5369.0000000,64428.0000000
"Utilities","France","Actual",1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,1000.0000000,12000.0000000
"Other Office Expenses","France","Actual",268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,268.0000000,3216.0000000
"Operating Expenses","France","Actual",25366.0000000,33191.0000000,27985.0000000,28396.0000000,32741.0000000,32783.0000000,28929.0000000,28981.0000000,30195.0000000,24842.0000000,29112.0000000,31728.0000000,354249.0000000
"Other Expenses","France","Actual",3102.0000000,5356.0000000,5208.0000000,4877.0000000,4993.0000000,3296.0000000,3012.0000000,4625.0000000,3335.0000000,4212.0000000,5253.0000000,5042.0000000,52311.0000000
"Total Expenses","France","Actual",28468.0000000,38547.0000000,33193.0000000,33273.0000000,37734.0000000,36079.0000000,31941.0000000,33606.0000000,33530.0000000,29054.0000000,34365.0000000,36770.0000000,406560.0000000
