dim1,dim2,dim3,dim4,dim5,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
"Sales Revenue","Singapore","Glitterade","Total Channels","Actual",37717.5277095,39603.4040950,41583.5742997,28288.1457821,30551.1974447,32995.2932403,35634.9166995,38485.7100354,24516.3930112,29419.6716134,35303.6059361,42364.3271233,416463.7669900
"Standard Cost per Litre","Singapore","Glitterade","Total Channels","Actual",0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,0.0906218,1.0874614
"Manufacturing Cost","Singapore","Glitterade","Total Channels","Actual",1523.2078571,1599.3682500,1679.3366625,1142.4058928,1233.7983643,1332.5022334,1439.1024121,1554.2306050,990.0851071,1188.1021285,1425.7225542,1710.8670651,16818.7291321
"Gross Margin","Singapore","Glitterade","Total Channels","Actual",36194.3198524,38004.0358450,39904.2376373,27145.7398893,29317.3990804,31662.7910069,34195.8142874,36931.4794304,23526.3079040,28231.5694849,33877.8833818,40653.4600582,399645.0378580
"GM %","Singapore","Glitterade","Total Channels","Actual",0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154
"Average Price","Singapore","Glitterade","Total Channels","Actual",2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,2.2439680,26.9276155
"Volume Litres","Thailand","Glitterade","Total Channels","Actual",20000.0000000,21000.0000000,22050.0000000,15000.0000000,16200.0000000,17496.0000000,18895.6800000,20407.3344000,13000.0000000,15600.0000000,18720.0000000,22464.0000000,220833.0144000
"Price per Litre","Thailand","Glitterade","Total Channels","Actual",49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,595.5145602
"Sales Revenue","Thailand","Glitterade","Total Channels","Actual",992524.2670000,1042150.4803500,1094258.0043675,744393.2002500,803944.6562700,868260.2287716,937721.0470733,1012738.7308392,645140.7735500,774168.9282600,929002.7139120,1114803.2566944,10959106.2873380
"Standard Cost per Litre","Thailand","Glitterade","Total Channels","Actual",32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,32.7964540,393.5574485
"Manufacturing Cost","Thailand","Glitterade","Total Channels","Actual",655929.0808000,688725.5348400,723161.8115820,491946.8106000,531302.5554480,573806.7598838,619711.3006745,669288.2047285,426353.9025200,511624.6830240,613949.6196288,736739.5435546,7242539.8072843
"Gross Margin","Thailand","Glitterade","Total Channels","Actual",336595.1862000,353424.9455100,371096.1927855,252446.3896500,272642.1008220,294453.4688878,318009.7463988,343450.5261107,218786.8710300,262544.2452360,315053.0942832,378063.7131398,3716566.4800538
"GM %","Thailand","Glitterade","Total Channels","Actual",0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304
"Average Price","Thailand","Glitterade","Total Channels","Actual",49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,49.6262134,595.5145602
"Volume Litres","Australia","Glitterade","Total Channels","Actual",36000.0000000,37800.0000000,39690.0000000,27000.0000000,29160.0000000,31492.8000000,34012.2240000,36733.2019200,23400.0000000,28080.0000000,33696.0000000,40435.2000000,397499.4259200
"Price per Litre","Australia","Glitterade","Total Channels","Actual",3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,3.2549864,39.0598373
"Sales Revenue","Australia","Glitterade","Total Channels","Actual",59181.5716800,62140.6502640,65247.6827772,44386.1787600,47937.0730608,51772.0389057,55913.8020181,60386.9061796,38468.0215920,46161.6259104,55393.9510925,66472.7413110,653462.2435512
"Standard Cost per Litre","Australia","Glitterade","Total Channels","Actual",0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,0.1726129,2.0713550
"Manufacturing Cost","Australia","Glitterade","Total Channels","Actual",3107.0325474,3262.3841747,3425.5033835,2330.2744105,2516.6963634,2718.0320724,2935.4746382,3170.3126093,2019.5711558,2423.4853869,2908.1824643,3489.8189572,34306.7681636
"Gross Margin","Australia","Glitterade","Total Channels","Actual",56074.5391326,58878.2660893,61822.1793937,42055.9043495,45420.3766974,49054.0068332,52978.3273799,57216.5935703,36448.4504362,43738.1405235,52485.7686282,62982.9223538,619155.4753876
"GM %","Australia","Glitterade","Total Channels","Actual",0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000
"Average Price","Australia","Glitterade","Total Channels","Actual",1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,1.6439325,19.7271906
"Volume Litres","Europe","Glitterade","Total Channels","Actual",40820.4180204,42861.4389214,45004.5108675,30615.3135153,33064.5385965,35709.7016843,38566.4778190,41651.7960445,26533.2717133,31839.9260559,38207.9112671,45849.4935205,450724.7980257
"Price per Litre","Europe","Glitterade","Total Channels","Actual",3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,3.0971958,37.1663494
"Sales Revenue","Europe","Glitterade","Total Channels","Actual",64121.8078529,67327.8982455,70694.2931578,48091.3558896,51938.6643608,56093.7575097,60581.2581105,65427.7587593,41679.1751044,50015.0101252,60018.0121503,72021.6145803,708010.6058462
"Standard Cost per Litre","Europe","Glitterade","Total Channels","Actual",0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,0.9897050,11.8764598
"Manufacturing Cost","Europe","Glitterade","Total Channels","Actual",23394.7365431,24564.4733702,25792.6970387,17546.0524073,18949.7365999,20465.7155279,22102.9727701,23871.2105917,15206.5787530,18247.8945036,21897.4734043,26276.9680852,258316.5095948
"Gross Margin","Europe","Glitterade","Total Channels","Actual",40727.0713098,42763.4248753,44901.5961191,30545.3034824,32988.9277609,35628.0419818,38478.2853404,41556.5481676,26472.5963514,31767.1156216,38120.5387460,45744.6464952,449694.0962514
"GM %","Europe","Glitterade","Total Channels","Actual",0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516
"Average Price","Europe","Glitterade","Total Channels","Actual",1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,1.5708268,18.8499220
"Volume Litres","UK","Glitterade","Total Channels","Actual",24012.0106002,25212.6111303,26473.2416868,18009.0079502,19449.7285862,21005.7068731,22686.1634229,24501.0564968,15607.8068902,18729.3682682,22475.2419218,26970.2903062,265132.2341328
"Price per Litre","UK","Glitterade","Total Channels","Actual",1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,13.7301242
"Sales Revenue","UK","Glitterade","Total Channels","Actual",27473.9907328,28847.6902694,30290.0747829,20605.4930496,22253.9324936,24034.2470930,25956.9868605,28033.5458093,17858.0939763,21429.7127716,25715.6553259,30858.7863911,303358.2095560
"Standard Cost per Litre","UK","Glitterade","Total Channels","Actual",0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,0.6411337,7.6936041
"Manufacturing Cost","UK","Glitterade","Total Channels","Actual",15394.9086003,16164.6540303,16972.8867318,11546.1814502,12469.8759662,13467.4660435,14544.8633270,15708.4523932,10006.6905902,12008.0287082,14409.6344499,17291.5613398,169985.2036305
"Gross Margin","UK","Glitterade","Total Channels","Actual",12079.0821325,12683.0362391,13317.1880511,9059.3115994,9784.0565273,10566.7810495,11412.1235335,12325.0934162,7851.4033861,9421.6840634,11306.0208760,13567.2250512,133373.0059255
"GM %","UK","Glitterade","Total Channels","Actual",0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552,0.4396552
"Average Price","UK","Glitterade","Total Channels","Actual",1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,1.1441770,13.7301242
"Volume Litres","France","Glitterade","Total Channels","Actual",16808.4074202,17648.8277912,18531.2691807,12606.3055651,13614.8100103,14703.9948112,15880.3143961,17150.7395477,10925.4648231,13110.5577877,15732.6693453,18879.2032143,185592.5638929
"Price per Litre","France","Glitterade","Total Channels","Actual",1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,17.0716068
"Sales Revenue","France","Glitterade","Total Channels","Actual",23912.2102009,25107.8207110,26363.2117465,17934.1576507,19368.8902628,20918.4014838,22591.8736025,24399.2234907,15542.9366306,18651.5239567,22381.8287481,26858.1944977,264030.2729820
"Standard Cost per Litre","France","Glitterade","Total Channels","Actual",0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.0513729,0.6164747
"Manufacturing Cost","France","Glitterade","Total Channels","Actual",863.4964795,906.6713035,952.0048686,647.6223596,699.4321484,755.3867202,815.8176579,881.0830705,561.2727117,673.5272540,808.2327048,969.8792458,9534.4265244
"Gross Margin","France","Glitterade","Total Channels","Actual",23048.7137215,24201.1494075,25411.2068779,17286.5352911,18669.4581144,20163.0147635,21776.0559446,23518.1404202,14981.6639190,17977.9967027,21573.5960433,25888.3152519,254495.8464577
"GM %","France","Glitterade","Total Channels","Actual",0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889,0.9638889
"Average Price","France","Glitterade","Total Channels","Actual",1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,1.4226339,17.0716068
"Volume Litres","World","BubbleBrew","Total Channels","Actual",348804.8933979,366245.1380678,384557.3949711,261603.6700484,282531.9636523,305134.5207445,329545.2824040,355908.9049964,226723.1807086,272067.8168504,326481.3802204,391777.6562646,3851381.8023264
"Price per Litre","World","BubbleBrew","Total Channels","Actual",14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,14.3027093,171.6325110
"Sales Revenue","World","BubbleBrew","Total Channels","Actual",563425.1297099,591596.3861954,621176.2055051,422568.8472824,456374.3550650,492884.3034702,532315.0477478,574900.2515677,366226.3343114,439471.6011737,527365.9214084,632839.1056902,6221143.4891274
"Standard Cost per Litre","World","BubbleBrew","Total Channels","Actual",5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,5.2079411,62.4952934
"Manufacturing Cost","World","BubbleBrew","Total Channels","Actual",223741.8048303,234928.8950718,246675.3398254,167806.3536227,181230.8619125,195729.3308655,211387.6773348,228298.6915215,145432.1731397,174518.6077676,209422.3293211,251306.7951854,2470478.8603983
"Gross Margin","World","BubbleBrew","Total Channels","Actual",339683.3248796,356667.4911236,374500.8656797,254762.4936597,275143.4931525,297154.9726047,320927.3704131,346601.5600461,220794.1611718,264952.9934061,317943.5920873,381532.3105048,3750664.6287290
"GM %","World","BubbleBrew","Total Channels","Actual",0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899,0.6028899
"Average Price","World","BubbleBrew","Total Channels","Actual",1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,1.6153017,19.3836201
"Volume Litres","North America","BubbleBrew","Total Channels","Actual",132180.8725718,138789.9162004,145729.4120104,99135.6544288,107066.5067832,115631.8273258,124882.3735118,134872.9633928,85917.5671717,103101.0806060,123721.2967271,148465.5560726,1459495.0268023
"Price per Litre","North America","BubbleBrew","Total Channels","Actual",4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,4.5834619,55.0015423
"Sales Revenue","North America","BubbleBrew","Total Channels","Actual",205454.0967275,215726.8015638,226513.1416420,154090.5725456,166417.8183493,179731.2438172,194109.7433225,209638.5227884,133545.1628729,160254.1954474,192305.0345369,230766.0414443,2268552.3750577
"Standard Cost per Litre","North America","BubbleBrew","Total Channels","Actual",2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,2.7512074,33.0144885
"Manufacturing Cost","North America","BubbleBrew","Total Channels","Actual",121629.2373757,127710.6992445,134096.2342067,91221.9280318,98519.6822743,106401.2568563,114913.3574048,124106.4259971,79059.0042942,94870.8051530,113844.9661836,136613.9594204,1342987.5564425
"Gross Margin","North America","BubbleBrew","Total Channels","Actual",83824.8593518,88016.1023193,92416.9074353,62868.6445138,67898.1360749,73329.9869609,79196.3859178,85532.0967912,54486.1585786,65383.3902944,78460.0683532,94152.0820239,925564.8186152
"GM %","North America","BubbleBrew","Total Channels","Actual",0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980,0.4079980
"Average Price","North America","BubbleBrew","Total Channels","Actual",1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,1.5543406,18.6520872
"Volume Litres","USA","BubbleBrew","Total Channels","Actual",48065.7718443,50469.0604365,52992.5134583,36049.3288832,38933.2751939,42047.9372094,45411.7721861,49044.7139610,31242.7516988,37491.3020385,44989.5624462,53987.4749355,530725.4642918
"Price per Litre","USA","BubbleBrew","Total Channels","Actual",1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,22.0718165
"Sales Revenue","USA","BubbleBrew","Total Channels","Actual",88408.2412597,92828.6533227,97470.0859888,66306.1809448,71610.6754204,77339.5294540,83526.6918103,90208.8271551,57465.3568188,68958.4281826,82750.1138191,99300.1365829,976172.9207592
"Standard Cost per Litre","USA","BubbleBrew","Total Channels","Actual",0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,0.9853490,11.8241874
"Manufacturing Cost","USA","BubbleBrew","Total Channels","Actual",47361.5578177,49729.6357086,52216.1174940,35521.1683633,38362.8618323,41431.8907789,44746.4420412,48326.1574045,30785.0125815,36942.0150978,44330.4181174,53196.5017408,522949.7789782
"Gross Margin","USA","BubbleBrew","Total Channels","Actual",41046.6834420,43099.0176141,45253.9684948,30785.0125815,33247.8135880,35907.6386751,38780.2497691,41882.6697506,26680.3442373,32016.4130848,38419.6957017,46103.6348421,453223.1417811
"GM %","USA","BubbleBrew","Total Channels","Actual",0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857,0.4642857
"Average Price","USA","BubbleBrew","Total Channels","Actual",1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,1.8393180,22.0718165
"Volume Litres","Canada","BubbleBrew","Total Channels","Actual",84115.1007275,88320.8557639,92736.8985520,63086.3255456,68133.2315893,73583.8901164,79470.6013257,85828.2494318,54674.8154729,65609.7785674,78731.7342809,94478.0811371,928769.5625105
"Price per Litre","Canada","BubbleBrew","Total Channels","Actual",3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,3.0624645,36.7495740
"Sales Revenue","Canada","BubbleBrew","Total Channels","Actual",130623.1747020,137154.3334371,144012.0501090,97967.3810265,105804.7715087,114269.1532293,123410.6854876,133283.5403267,84905.0635563,101886.0762675,122263.2915210,146715.9498253,1442295.4709971
"Standard Cost per Litre","Canada","BubbleBrew","Total Channels","Actual",1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,1.9706980,23.6483760
"Manufacturing Cost","Canada","BubbleBrew","Total Channels","Actual",82882.7303867,87026.8669061,91378.2102514,62162.0477900,67135.0116133,72505.8125423,78306.2775457,84570.7797493,53873.7747514,64648.5297016,77578.2356419,93093.8827704,915162.1596502
"Gross Margin","Canada","BubbleBrew","Total Channels","Actual",47740.4443153,50127.4665310,52633.8398576,35805.3332365,38669.7598954,41763.3406870,45104.4079420,48712.7605773,31031.2888049,37237.5465659,44685.0558791,53622.0670549,527133.3113469
"GM %","Canada","BubbleBrew","Total Channels","Actual",0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822,0.3654822
"Average Price","Canada","BubbleBrew","Total Channels","Actual",1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,1.5529099,18.6349191
"Volume Litres","Asia Pacific","BubbleBrew","Total Channels","Actual",138803.2473640,145743.4097321,153030.5802187,104102.4355230,112430.6303648,121425.0807940,131139.0872575,141630.2142381,90222.1107866,108266.5329439,129919.8395327,155903.8074392,1532616.9761946
"Price per Litre","Asia Pacific","BubbleBrew","Total Channels","Actual",5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,5.5043166,66.0517991
"Sales Revenue","Asia Pacific","BubbleBrew","Total Channels","Actual",191612.2844184,201192.8986393,211252.5435712,143709.2133138,155205.9503788,167622.4264092,181032.2205219,195514.7981637,124547.9848719,149457.5818464,179349.0982156,215218.9178587,2115715.9182089
"Standard Cost per Litre","Asia Pacific","BubbleBrew","Total Channels","Actual",1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,1.1098579,13.3182953
"Manufacturing Cost","Asia Pacific","BubbleBrew","Total Channels","Actual",41416.8499639,43487.6924621,45662.0770852,31062.6374729,33547.6484707,36231.4603484,39129.9771763,42260.3753504,26920.9524765,32305.1429718,38766.1715662,46519.4058794,457310.3912238
"Gross Margin","Asia Pacific","BubbleBrew","Total Channels","Actual",150195.4344545,157705.2061772,165590.4664860,112646.5758409,121658.3019081,131390.9660608,141902.2433457,153254.4228133,97627.0323954,117152.4388745,140582.9266494,168699.5119793,1658405.5269851
"GM %","Asia Pacific","BubbleBrew","Total Channels","Actual",0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508,0.7838508
"Average Price","Asia Pacific","BubbleBrew","Total Channels","Actual",1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,1.3804597,16.5655160
"Volume Litres","Singapore","BubbleBrew","Total Channels","Actual",32043.8478962,33646.0402910,35328.3423055,24032.8859221,25955.5167959,28031.9581396,30274.5147908,32696.4759740,20828.5011325,24994.2013590,29993.0416308,35991.6499570,353816.9761945
"Price per Litre","Singapore","BubbleBrew","Total Channels","Actual",2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,28.6933608
"Sales Revenue","Singapore","BubbleBrew","Total Channels","Actual",76620.4740921,80451.4977967,84474.0726866,57465.3555691,62062.5840146,67027.5907358,72389.7979947,78180.9818342,49803.3081599,59763.9697919,71716.7637502,86060.1165003,846016.5129262
"Standard Cost per Litre","Singapore","BubbleBrew","Total Channels","Actual",0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,0.0965642,1.1587703
"Manufacturing Cost","Singapore","BubbleBrew","Total Channels","Actual",3094.2883916,3249.0028112,3411.4529518,2320.7162937,2506.3735972,2706.8834850,2923.4341638,3157.3088969,2011.2874545,2413.5449455,2896.2539346,3475.5047215,34166.0516472
"Gross Margin","Singapore","BubbleBrew","Total Channels","Actual",73526.1857005,77202.4949855,81062.6197348,55144.6392754,59556.2104174,64320.7072508,69466.3638309,75023.6729374,47792.0207053,57350.4248464,68820.5098157,82584.6117788,811850.4612790
"GM %","Singapore","BubbleBrew","Total Channels","Actual",0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154,0.9596154
"Average Price","Singapore","BubbleBrew","Total Channels","Actual",2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,2.3911134,28.6933608
"Volume Litres","Thailand","BubbleBrew","Total Channels","Actual",38128.3569528,40034.7748004,42036.5135404,28596.2677146,30883.9691317,33354.6866623,36023.0615953,38904.9065229,24783.4320193,29740.1184232,35688.1421078,42825.7705294,421000.0000000
"Price per Litre","Thailand","BubbleBrew","Total Channels","Actual",52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,634.5647238
"Sales Revenue","Thailand","BubbleBrew","Total Channels","Actual",2016242.5248903,2117054.6511349,2222907.3836916,1512181.8936678,1633156.4451612,1763808.9607741,1904913.6776360,2057306.7718469,1310557.6411787,1572669.1694145,1887203.0032974,2264643.6039568,22262645.7266500
"Standard Cost per Litre","Thailand","BubbleBrew","Total Channels","Actual",34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,34.9470428,419.3645131
"Manufacturing Cost","Thailand","BubbleBrew","Total Channels","Actual",1332473.3207971,1399096.9868369,1469051.8361788,999354.9905978,1079303.3898456,1165647.6610333,1258899.4739160,1359611.4318292,866107.6585181,1039329.1902217,1247195.0282661,1496634.0339193,14712705.0019600
"Gross Margin","Thailand","BubbleBrew","Total Channels","Actual",683769.2040932,717957.6642979,753855.5475128,512826.9030699,553853.0553155,598161.2997408,646014.2037200,697695.3400176,444449.9826606,533339.9791927,640007.9750313,768009.5700375,7549940.7246900
"GM %","Thailand","BubbleBrew","Total Channels","Actual",0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304,0.3391304
"Average Price","Thailand","BubbleBrew","Total Channels","Actual",52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,52.8803937,634.5647238
"Volume Litres","Australia","BubbleBrew","Total Channels","Actual",68631.0425150,72062.5946407,75665.7243728,51473.2818863,55591.1444371,60038.4359921,64841.5108715,70028.8317412,44610.1776347,53532.2131617,64238.6557940,77086.3869529,757800.0000001
"Price per Litre","Australia","BubbleBrew","Total Channels","Actual",3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,3.4684283,41.6211394
"Sales Revenue","Australia","BubbleBrew","Total Channels","Actual",120223.1558486,126234.3136410,132546.0293230,90167.3668865,97380.7562373,105171.2167363,113584.9140753,122671.7072013,78145.0513016,93774.0615619,112528.8738743,135034.6486492,1327462.0953361
"Standard Cost per Litre","Australia","BubbleBrew","Total Channels","Actual",0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,0.1839318,2.2071816
"Manufacturing Cost","Australia","BubbleBrew","Total Channels","Actual",6311.7156853,6627.3014695,6958.6665430,4733.7867640,5112.4897051,5521.4888815,5963.2079920,6440.2646314,4102.6151954,4923.1382345,5907.7658814,7089.3190577,69691.7600408
"Gross Margin","Australia","BubbleBrew","Total Channels","Actual",113911.4401633,119607.0121714,125587.3627800,85433.5801225,92268.2665322,99649.7278549,107621.7060833,116231.4425699,74042.4361061,88850.9233274,106621.1079928,127945.3295915,1257770.3352953
"GM %","Australia","BubbleBrew","Total Channels","Actual",0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000,0.9475000
"Average Price","Australia","BubbleBrew","Total Channels","Actual",1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,1.7517315,21.0207774
"Volume Litres","Europe","BubbleBrew","Total Channels","Actual",77820.7734622,81711.8121353,85797.4027420,58365.5800966,63034.8265044,68077.6126247,73523.8216347,79405.7273655,50583.5027504,60700.2033005,72840.2439606,87408.2927527,859269.7993295
"Price per Litre","Europe","BubbleBrew","Total Channels","Actual",3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,3.3002908,39.6034898
"Sales Revenue","Europe","BubbleBrew","Total Channels","Actual",130258.9001257,136771.8451319,143610.4373885,97694.1750942,105509.7091018,113950.4858299,123066.5246963,132911.8466720,84668.2850817,101601.9420980,121922.3305176,146306.7966211,1438273.2783589
"Standard Cost per Litre","Europe","BubbleBrew","Total Channels","Actual",1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,1.0546038,12.6552450
"Manufacturing Cost","Europe","BubbleBrew","Total Channels","Actual",47524.7467952,49900.9841350,52396.0333417,35643.5600964,38495.0449041,41574.6484965,44900.6203762,48492.6700063,30891.0854169,37069.3025003,44483.1630003,53379.7956004,524751.6546692
"Gross Margin","Europe","BubbleBrew","Total Channels","Actual",82734.1533305,86870.8609970,91214.4040468,62050.6149978,67014.6641977,72375.8373335,78165.9043202,84419.1766658,53777.1996648,64532.6395978,77439.1675173,92927.0010208,913521.6236898
"GM %","Europe","BubbleBrew","Total Channels","Actual",0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516,0.6351516
"Average Price","Europe","BubbleBrew","Total Channels","Actual",1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,1.6738320,20.0859839
"Volume Litres","UK","BubbleBrew","Total Channels","Actual",45776.9255660,48065.7718443,50469.0604365,34332.6941745,37079.3097084,40045.6544851,43249.3068439,46709.2513914,29755.0016179,35706.0019415,42847.2023298,51416.6427957,505452.8231350
"Price per Litre","UK","BubbleBrew","Total Channels","Actual",1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,1.2192051,14.6304615
"Sales Revenue","UK","BubbleBrew","Total Channels","Actual",55811.4622110,58602.0353216,61532.1370876,41858.5966583,45207.2843909,48823.8671422,52729.7765136,56948.1586347,36277.4504372,43532.9405246,52239.5286295,62687.4343554,616250.6719065
